ACTIONDATE,ACTIONTYPE,CANDIDATEID,CONTACTID,CREATEDATE,JOBID,NOTEFIRST100CHARS,NOTEID,USERID,api_fromDate,api_toDate
2020-11-19 11:51:00.0,Consultant Care - Call,11497712540223,,2020-11-19 11:51:40.0,,"things are going well. been receiving more projects, but it is going good. currently on the front-en",362158463,1445279,2020-11-18,2020-11-19
2020-11-19 10:32:00.0,Consultant Care - Call,11886504968726,,2020-11-19 10:33:12.0,,spoke with and he is all set to start tomorrow - he has been communicating directly with Scott,362127465,1403411,2020-11-18,2020-11-19
2020-11-18 19:44:00.0,Consultant Care - Call,3593801922536,,2020-11-18 19:44:32.0,,"we all good there 
thx for checking 
please let ne know what they want to do at the end of Decembe",362077705,1169137,2020-11-18,2020-11-19
2020-11-18 18:06:00.0,Consultant Care - Call,9708603686103,,2020-11-18 18:06:46.0,,"Things are going well, he's enjoying it a lot. ",362069174,1359813,2020-11-18,2020-11-19
2020-11-18 16:22:00.0,Consultant Care - Call,1558999011379,,2020-11-18 16:59:09.0,,"he was going to call me.

she is not a friendly person to work with, he tries to ask questions but",362053316,1445402,2020-11-18,2020-11-19
2020-11-18 15:08:00.0,Consultant Care - Call,7098755224121,,2020-11-18 15:14:14.0,,"Spoke with Adeola today, she said things are going well! They are VERY busy, especially with the rec",362011518,1251538,2020-11-18,2020-11-19
2020-11-18 14:12:00.0,Consultant Care - Call,11871870667222,,2020-11-18 14:31:56.0,,Reached out to Dorika... she was at work so she could not talk freely. She stated everything is goin,361996227,1460761,2020-11-18,2020-11-19
2020-11-18 13:57:00.0,Consultant Care - Call,11994167317735,,2020-11-18 13:58:30.0,,"Floral Arrangement delivered today - Divya's birthday/ long onboarding process.

Divya - Thank you",361984176,1395257,2020-11-18,2020-11-19
2020-11-18 12:56:00.0,Consultant Care - Call,2851341983744,,2020-11-18 13:03:00.0,,group is awesome. just what he needed. hoping for the best going forward. Diane is Director. Hasnt r,361964181,1443218,2020-11-18,2020-11-19
2020-11-18 12:38:00.0,Consultant Care - Call,11886504968726,,2020-11-18 12:39:05.0,,"lm, em to make sure he is all set to start on Friday and to see if he needs anything from us",361955812,1403411,2020-11-18,2020-11-19
2020-11-18 11:56:00.0,Consultant Care - Call,9535026048936,,2020-11-18 12:00:54.0,,"Tiffany talked about extension - Gina hasnt seen it come through 

",361941605,1455994,2020-11-18,2020-11-19
2020-11-18 11:51:00.0,Consultant Care - Call,679593639385,,2020-11-18 11:51:33.0,,"Tried connecting with Diana this morning, checking in to see how things are going on her assignment ",361937572,1460761,2020-11-18,2020-11-19
2020-11-18 10:17:00.0,Consultant Care - Call,11573701916724,,2020-11-18 10:25:22.0,,Connected with Jennfier yesterday evening 11/17/20 to deliver the message that she was promoted to C,361899344,1460761,2020-11-18,2020-11-19
2020-11-19 21:58:00.0,Left Message,2774927413097,,2020-11-19 21:58:55.0,,lm,362318272,1445402,2020-11-18,2020-11-19
2020-11-19 18:50:00.0,Left Message,11836689789309,,2020-11-19 18:50:09.0,14099781,LVM and email,362306047,1422281,2020-11-18,2020-11-19
2020-11-19 18:17:00.0,Left Message,5459240871841,,2020-11-19 18:17:57.0,14101466,LVM/EM,362302153,1424008,2020-11-18,2020-11-19
2020-11-19 16:39:00.0,Left Message,6948373186641,,2020-11-19 16:40:08.0,14056555,Lm re the Alight Dev position.,362280298,1445360,2020-11-18,2020-11-19
2020-11-19 16:34:00.0,Left Message,1515036393503,,2020-11-19 16:34:31.0,14105974,VM EM,362276521,1450333,2020-11-18,2020-11-19
2020-11-19 16:31:00.0,Left Message,6898928964233,,2020-11-19 16:31:31.0,,"lm, em to see how interview went earlier",362274869,1403411,2020-11-18,2020-11-19
2020-11-19 15:53:00.0,Left Message,10499165924159,,2020-11-19 15:53:24.0,14105621,LVM/EM,362260251,1424008,2020-11-18,2020-11-19
2020-11-19 15:36:00.0,Left Message,4189893220538,,2020-11-19 15:36:11.0,14105974,VM EM,362253226,1450333,2020-11-18,2020-11-19
2020-11-19 15:31:00.0,Left Message,11843440037568,,2020-11-19 15:31:31.0,14102589,lvm sms,362251575,1447792,2020-11-18,2020-11-19
2020-11-19 15:27:00.0,Left Message,11126783422246,,2020-11-19 15:27:20.0,14108679,and texted,362249240,1440064,2020-11-18,2020-11-19
2020-11-19 15:23:00.0,Left Message,473508870823,,2020-11-19 15:23:43.0,14105621,LVM/EM,362247857,1424008,2020-11-18,2020-11-19
2020-11-19 15:22:00.0,Left Message,2019860941214,,2020-11-19 15:22:52.0,14108679,And texted,362247622,1440064,2020-11-18,2020-11-19
2020-11-19 15:17:00.0,Left Message,2508238,,2020-11-19 15:17:50.0,14108679,And texted,362246013,1440064,2020-11-18,2020-11-19
2020-11-19 15:12:00.0,Left Message,12135187160464,,2020-11-19 15:12:38.0,14105621,LVM/EM,362243813,1424008,2020-11-18,2020-11-19
2020-11-19 13:30:00.0,Left Message,12232200296245,,2020-11-19 13:30:19.0,14105974,VM EM,362195947,1450333,2020-11-18,2020-11-19
2020-11-19 13:18:00.0,Left Message,11848239972710,,2020-11-19 13:18:21.0,14087331,LVM and email,362191622,1422281,2020-11-18,2020-11-19
2020-11-19 13:09:00.0,Left Message,3557449399159,,2020-11-19 13:10:01.0,,lm,362188246,1403411,2020-11-18,2020-11-19
2020-11-19 13:04:00.0,Left Message,11983442071007,,2020-11-19 13:04:28.0,,lm,362186354,1403411,2020-11-18,2020-11-19
2020-11-19 12:59:00.0,Left Message,9317149857817,,2020-11-19 12:59:52.0,14093472,lvm,362184717,1445402,2020-11-18,2020-11-19
2020-11-19 12:58:00.0,Left Message,12019789618424,,2020-11-19 12:59:05.0,14102589,lvm sms,362184343,1447792,2020-11-18,2020-11-19
2020-11-19 12:53:00.0,Left Message,12175332948053,,2020-11-19 12:53:34.0,,lm to let him know he is still being considered for BioTel role and we should know more next week,362182226,1403411,2020-11-18,2020-11-19
2020-11-19 12:35:00.0,Left Message,3221411340140,,2020-11-19 12:36:02.0,14107036,Called Kraig & LVM,362177388,1095869,2020-11-18,2020-11-19
2020-11-19 12:22:00.0,Left Message,7586861545536,,2020-11-19 12:22:23.0,14057099,lm,362172478,1403411,2020-11-18,2020-11-19
2020-11-19 12:21:00.0,Left Message,11699667523013,,2020-11-19 12:21:51.0,14102589,lvm sms,362172330,1447792,2020-11-18,2020-11-19
2020-11-19 12:04:00.0,Left Message,3402289672421,,2020-11-19 12:04:41.0,,lvm- netspend/sysco,362165948,1445402,2020-11-18,2020-11-19
2020-11-19 11:45:00.0,Left Message,1704894380064,,2020-11-19 11:46:53.0,,lvm,362157008,1445402,2020-11-18,2020-11-19
2020-11-19 11:36:00.0,Left Message,6490565634672,,2020-11-19 11:37:55.0,,lvm- NRG,362154090,1445402,2020-11-18,2020-11-19
2020-11-19 10:53:00.0,Left Message,11994561091252,,2020-11-19 10:54:29.0,,"lm, em to see if he is still available and interested in setting up interview with Fiserv",362136244,1403411,2020-11-18,2020-11-19
2020-11-19 10:47:00.0,Left Message,711376579927,,2020-11-19 10:48:24.0,,lm and texted to see if he is still available and interested in interviewing for Java role at Fiserv,362134112,1403411,2020-11-18,2020-11-19
2020-11-18 17:33:00.0,Left Message,12072610424333,,2020-11-18 17:33:24.0,14076830,LVM And email ,362062266,1422281,2020-11-18,2020-11-19
2020-11-18 17:14:00.0,Left Message,11846039078425,,2020-11-18 17:14:58.0,14101466,LVM/EM- applied on LI ,362057329,1424008,2020-11-18,2020-11-19
2020-11-18 17:09:00.0,Left Message,4728467245803,,2020-11-18 17:09:41.0,14094119,LVM and email,362056144,1422281,2020-11-18,2020-11-19
2020-11-18 17:08:00.0,Left Message,3286132093742,,2020-11-18 17:08:34.0,14076112,LVM and sent email,362055834,1457446,2020-11-18,2020-11-19
2020-11-18 16:56:00.0,Left Message,4687049379556,,2020-11-18 16:57:06.0,14094119,LVM and email,362052494,1422281,2020-11-18,2020-11-19
2020-11-18 16:09:00.0,Left Message,7586861545536,,2020-11-18 16:47:21.0,14057099,referral from Divyam at Source InfoTech for Turner Developer position - confirmed c2c rate of $70 pe,362049755,1403411,2020-11-18,2020-11-19
2020-11-18 16:20:00.0,Left Message,6948373186641,,2020-11-18 16:21:04.0,14056555,Lm re the Alight Dev. role. ,362040086,1445360,2020-11-18,2020-11-19
2020-11-18 16:12:00.0,Left Message,712440679243,,2020-11-18 16:13:08.0,14056555,Lm re the Alight Dev. role. ,362037062,1445360,2020-11-18,2020-11-19
2020-11-18 16:10:00.0,Left Message,10934824639586,,2020-11-18 16:10:16.0,14098301,VM EM,362036269,1450333,2020-11-18,2020-11-19
2020-11-18 16:06:00.0,Left Message,6985745283677,,2020-11-18 16:06:50.0,14098301,VM EM,362035096,1450333,2020-11-18,2020-11-19
2020-11-18 16:04:00.0,Left Message,257969715021,,2020-11-18 16:05:11.0,14056555,Lm re the Alight Dev role. ,362034630,1445360,2020-11-18,2020-11-19
2020-11-18 15:49:00.0,Left Message,10860606943720,,2020-11-18 15:49:14.0,13902382,lvm,362029318,1445402,2020-11-18,2020-11-19
2020-11-18 15:29:00.0,Left Message,10394361157234,,2020-11-18 15:29:55.0,14099781,LVM and email,362022625,1422281,2020-11-18,2020-11-19
2020-11-18 15:28:00.0,Left Message,1674489199696,,2020-11-18 15:28:48.0,14101773,LVM and followed up with an email,362022218,1457446,2020-11-18,2020-11-19
2020-11-18 15:14:00.0,Left Message,449253584834,,2020-11-18 15:14:21.0,14099781,LVM and email,362011826,1422281,2020-11-18,2020-11-19
2020-11-18 15:06:00.0,Left Message,11294754656743,,2020-11-18 15:06:31.0,14094119,LVM And email,362008707,1422281,2020-11-18,2020-11-19
2020-11-18 15:04:00.0,Left Message,9376565719558,,2020-11-18 15:04:32.0,14094119,LVM and email,362008152,1422281,2020-11-18,2020-11-19
2020-11-18 14:05:00.0,Left Message,3416063661779,,2020-11-18 14:05:27.0,14097982,lvm sms,361986265,1447792,2020-11-18,2020-11-19
2020-11-18 13:29:00.0,Left Message,6898928964233,,2020-11-18 13:44:41.0,,"sent confirmation email with details, lm to do interview prep",361979431,1403411,2020-11-18,2020-11-19
2020-11-18 13:31:00.0,Left Message,12034030044481,,2020-11-18 13:31:52.0,14095613,Lm re Fiserv.,361974897,1445360,2020-11-18,2020-11-19
2020-11-18 13:20:00.0,Left Message,7934032568652,,2020-11-18 13:21:22.0,14059577,Lm re the Fiserv SE position 4250.,361970534,1445360,2020-11-18,2020-11-19
2020-11-18 13:00:00.0,Left Message,5350926657239,,2020-11-18 13:00:34.0,,lvm,361963409,1445402,2020-11-18,2020-11-19
2020-11-18 12:45:00.0,Left Message,9062900739815,,2020-11-18 12:45:55.0,14098301,VM EM,361958227,1450333,2020-11-18,2020-11-19
2020-11-18 12:44:00.0,Left Message,2658205268842,,2020-11-18 12:44:15.0,14098301,VM EM,361957773,1450333,2020-11-18,2020-11-19
2020-11-18 12:03:00.0,Left Message,6099312658503,,2020-11-18 12:04:31.0,13969324,supposed to chat today at 11- LVM and sent another message,361942689,1424008,2020-11-18,2020-11-19
2020-11-18 11:45:00.0,Left Message,11906347177354,,2020-11-18 11:45:43.0,,LM,361934787,1440064,2020-11-18,2020-11-19
2020-11-18 11:15:00.0,Left Message,11813198419017,,2020-11-18 11:16:07.0,14098301,VM EM,361921513,1450333,2020-11-18,2020-11-19
2020-11-18 10:54:00.0,Left Message,1963747562919,,2020-11-18 10:54:32.0,14097982,lvm sms,361911278,1447792,2020-11-18,2020-11-19
2020-11-18 10:37:00.0,Left Message,4641832252072,,2020-11-18 10:37:35.0,14098301,VM EM,361903738,1450333,2020-11-18,2020-11-19
2020-11-18 10:00:00.0,Left Message,1988518284920,,2020-11-18 10:01:33.0,14097982,lvm sms,361889392,1447792,2020-11-18,2020-11-19
2020-11-18 09:36:00.0,Left Message,11844392956078,,2020-11-18 09:36:28.0,14057099,"lm, em",361878789,1403411,2020-11-18,2020-11-19
2020-11-18 09:15:00.0,Left Message,119760733502,,2020-11-18 09:15:50.0,,"lm, em to see how call went yesterday",361871948,1403411,2020-11-18,2020-11-19
2020-11-19 22:42:00.0,Candidate Call,843291098294,,2020-11-19 22:43:00.0,,we talked about Fiserv BA role in Chicago back in October.  she got back to me too late to be submit,362318675,1108886,2020-11-18,2020-11-19
2020-11-19 19:33:00.0,Candidate Call,220896949220,,2020-11-19 19:57:19.0,14103058,"work auth: US Citizen

not applied to Beachbody, not reached out.

M: $50 - $55/hour on W2 ($55/",362311068,1470052,2020-11-18,2020-11-19
2020-11-19 19:32:00.0,Candidate Call,12133048121199,,2020-11-19 19:46:22.0,14110161,Phone not in service instead Emailed.,362310539,1470277,2020-11-18,2020-11-19
2020-11-19 19:23:00.0,Candidate Call,546146347858,,2020-11-19 19:25:23.0,14110161,"Called her at a wrong time 
She had a long day interviewing because she just finished with  Charles",362309363,1470277,2020-11-18,2020-11-19
2020-11-19 19:13:00.0,Candidate Call,594269531926,,2020-11-19 19:13:22.0,14110161,LVM + Email,362308487,1470277,2020-11-18,2020-11-19
2020-11-19 19:08:00.0,Candidate Call,2581715691150,,2020-11-19 19:09:24.0,14110161,Sent JO for role and might be something of interest.,362308032,1470277,2020-11-18,2020-11-19
2020-11-19 19:00:00.0,Candidate Call,1515036393503,,2020-11-19 19:00:45.0,14108032,LM/SE,362307390,1409440,2020-11-18,2020-11-19
2020-11-19 18:46:00.0,Candidate Call,6289827756405,,2020-11-19 18:59:58.0,14103058,"already approached by Beachbody. - for other role, she has been approached. one was Lead QA role, on",362307336,1470052,2020-11-18,2020-11-19
2020-11-19 18:57:00.0,Candidate Call,11674605219403,,2020-11-19 18:58:00.0,14110112,getting submitted over now,362307184,1380008,2020-11-18,2020-11-19
2020-11-19 18:43:00.0,Candidate Call,12218097120206,,2020-11-19 18:44:36.0,14103058,"spoke on phone, she was driving. not sure if approached by Beachbody. (cut it short, hard to underst",362305526,1470052,2020-11-18,2020-11-19
2020-11-19 18:43:00.0,Candidate Call,11674605219403,,2020-11-19 18:44:11.0,14110112,vm/email,362305420,1380008,2020-11-18,2020-11-19
2020-11-19 18:38:00.0,Candidate Call,153874465843,,2020-11-19 18:38:11.0,14110112,vm/email,362304856,1380008,2020-11-18,2020-11-19
2020-11-19 18:31:00.0,Candidate Call,11448230434621,,2020-11-19 18:31:38.0,14105964,LM ,362304285,1460631,2020-11-18,2020-11-19
2020-11-19 18:29:00.0,Candidate Call,7024850023166,,2020-11-19 18:30:46.0,14098326,LVM,362304191,1451308,2020-11-18,2020-11-19
2020-11-19 18:29:00.0,Candidate Call,8751150584052,,2020-11-19 18:29:48.0,14110112,vm/email,362304065,1380008,2020-11-18,2020-11-19
2020-11-19 18:13:00.0,Candidate Call,10519123168051,,2020-11-19 18:15:24.0,14093520,"discussed Pega Testing Lead
The role fits perfectly
Was with Verizon for most of her career
8+ ye",362301842,1108886,2020-11-18,2020-11-19
2020-11-19 18:07:00.0,Candidate Call,9867079056469,,2020-11-19 18:07:12.0,14099781,sub at 72,362300536,1422281,2020-11-18,2020-11-19
2020-11-19 18:03:00.0,Candidate Call,12165449727138,,2020-11-19 18:03:48.0,,"Interview debrief: Chris feedback:

Thought it went well, went over to almost an hour. Gave him a ",362299964,1251538,2020-11-18,2020-11-19
2020-11-19 17:58:00.0,Candidate Call,6850272217075,,2020-11-19 17:58:38.0,14078086,NOt Viable - needs $60/hr and unwilling to relocate to LA - Remote only,362299073,1409440,2020-11-18,2020-11-19
2020-11-19 17:44:00.0,Candidate Call,6850272217075,,2020-11-19 17:51:06.0,14078086,"Local and remote.
$60/hr W2. for a project. 
Available asap - remote
",362297531,1409440,2020-11-18,2020-11-19
2020-11-19 17:47:00.0,Candidate Call,8994630417042,,2020-11-19 17:48:17.0,14049477,has an employer for C2C,362296938,1445402,2020-11-18,2020-11-19
2020-11-19 17:46:00.0,Candidate Call,8994630417042,,2020-11-19 17:47:42.0,14049477,"do require sponsorship, OPT right now
houston, TX


",362296840,1445402,2020-11-18,2020-11-19
2020-11-19 17:44:00.0,Candidate Call,9022481485296,,2020-11-19 17:45:26.0,14098326,Called him at a bad time will be connecting with him tomorrow at 10:00 a.m. to chat about the role h,362296411,1470277,2020-11-18,2020-11-19
2020-11-19 17:40:00.0,Candidate Call,11926819819596,,2020-11-19 17:40:48.0,14078086,OPT EAD - switch to H1B - C2C only,362295464,1409440,2020-11-18,2020-11-19
2020-11-19 17:36:00.0,Candidate Call,2335878083936,,2020-11-19 17:36:42.0,14110112,bad connection/email,362294664,1380008,2020-11-18,2020-11-19
2020-11-19 17:34:00.0,Candidate Call,7866719375310,,2020-11-19 17:35:16.0,14078086,H1B Visa transfer - Valid 2022 - no I140  20-04541,362294379,1409440,2020-11-18,2020-11-19
2020-11-19 17:34:00.0,Candidate Call,7866719375310,,2020-11-19 17:34:48.0,14105964,H1B Visa transfer - Valid 2022 - no I140,362294297,1409440,2020-11-18,2020-11-19
2020-11-19 17:22:00.0,Candidate Call,3049134968037,,2020-11-19 17:30:54.0,14104102,"submit at $150k/yr. 
is going to send me an email of her full transformation that she has been resp",362293563,1440874,2020-11-18,2020-11-19
2020-11-19 17:24:00.0,Candidate Call,6279257331426,,2020-11-19 17:29:08.0,14096589,"not interested in BAL
Still  with FedEx but actively looking /interviewing 
looking to leave becau",362293095,1359813,2020-11-18,2020-11-19
2020-11-19 17:15:00.0,Candidate Call,3398127331846,,2020-11-19 17:15:52.0,14087331,PRep completed ,362289731,1422281,2020-11-18,2020-11-19
2020-11-19 17:10:00.0,Candidate Call,4393334033006,,2020-11-19 17:11:18.0,14110112,vm/email,362288738,1380008,2020-11-18,2020-11-19
2020-11-19 17:03:00.0,Candidate Call,257969715021,,2020-11-19 17:04:24.0,,"He is currently making $160K, but looking for at least $150K.",362287112,1445360,2020-11-18,2020-11-19
2020-11-19 17:02:00.0,Candidate Call,257969715021,,2020-11-19 17:03:17.0,,"I spoke Rich today. He is currently working for Building Clarity, but they are trying to sell the pr",362286888,1445360,2020-11-18,2020-11-19
2020-11-19 16:59:00.0,Candidate Call,538693993470,,2020-11-19 17:00:58.0,14108032,Not interested - was already in process there through the internal recruiter,362286346,1409440,2020-11-18,2020-11-19
2020-11-19 17:00:00.0,Candidate Call,524042218944,,2020-11-19 17:00:39.0,14110112,vm/email,362286226,1380008,2020-11-18,2020-11-19
2020-11-19 16:59:00.0,Candidate Call,10625142625411,,2020-11-19 16:59:41.0,14057099,confirmed for 12:30 phone interview on Monday - need to send confirmation email with details and do ,362285972,1403411,2020-11-18,2020-11-19
2020-11-19 16:53:00.0,Candidate Call,7067855976005,,2020-11-19 16:53:54.0,14011186,LM/SE,362284146,1409440,2020-11-18,2020-11-19
2020-11-19 16:45:00.0,Candidate Call,11869487777916,,2020-11-19 16:46:37.0,14011186,GC EAD - ext. in process - C2C only,362282392,1409440,2020-11-18,2020-11-19
2020-11-19 16:39:00.0,Candidate Call,11963931287268,,2020-11-19 16:40:02.0,14011186,Sent email - candidate is inmtersted - no number associated - request to screen,362280277,1409440,2020-11-18,2020-11-19
2020-11-19 16:38:00.0,Candidate Call,353416564761,,2020-11-19 16:38:48.0,14110112,just accepted a full time role a few weeks ago but he said he will reach out to his network for me. ,362279957,1380008,2020-11-18,2020-11-19
2020-11-19 16:35:00.0,Candidate Call,5945609815262,,2020-11-19 16:35:44.0,,did interview prep and he is all set for tomorrow,362278905,1403411,2020-11-18,2020-11-19
